person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26,77100,RENT,8,EDUCATION,B,35000,12.42,1,0.45,N,3
26,108160,RENT,4,EDUCATION,E,35000,18.39,1,0.32,N,4
25,137000,RENT,9,PERSONAL,E,34800,16.77,0,0.25,Y,2
26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3
26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0,0.03,N,4
25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4
26,62050,RENT,6,MEDICAL,E,30000,17.99,1,0.41,N,2
26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,0.07,N,4
26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4
25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3
26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.37,N,3
25,120000,RENT,9,EDUCATION,A,30000,7.9,0,0.25,N,4
26,280000,RENT,4,PERSONAL,C,10000,15.96,0,0.04,Y,3
25,128000,RENT,9,PERSONAL,A,30000,7.29,0,0.23,N,4
25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.1,N,2
26,260000,OWN,10,EDUCATION,B,28000,10.99,0,0.11,N,3
25,259000,MORTGAGE,9,EDUCATION,D,20000,14.42,0,0.08,Y,2
25,100000,RENT,5,MEDICAL,B,28000,12.69,0,0.28,N,3
26,110000,RENT,10,MEDICAL,A,28000,8.9,0,0.25,N,2
26,73200,RENT,5,VENTURE,D,27050,15.62,1,0.37,Y,2
26,234000,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3
25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3
25,230000,MORTGAGE,5,MEDICAL,C,35000,13.99,0,0.15,N,4
26,226000,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4
26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.16,N,2
25,50000,RENT,4,EDUCATION,A,25000,5.99,1,0.5,N,2
26,216000,MORTGAGE,10,EDUCATION,C,20000,14.22,0,0.09,Y,2
26,215000,MORTGAGE,11,EDUCATION,A,12000,7.88,0,0.06,N,2
26,210000,OWN,10,PERSONAL,B,22000,11.83,0,0.1,N,4
26,48000,RENT,5,VENTURE,F,25000,18.43,1,0.52,N,2
26,56000,RENT,4,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2
26,54000,RENT,7,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2
25,61959,RENT,9,MEDICAL,C,25000,12.73,1,0.4,N,2
26,200000,MORTGAGE,4,EDUCATION,C,15000,14.79,0,0.07,N,3
25,200000,RENT,5,EDUCATION,D,18000,16.32,0,0.09,N,3
25,200000,MORTGAGE,9,PERSONAL,C,23050,14.35,0,0.12,N,3
26,66996,RENT,10,PERSONAL,D,25000,15.21,1,0.37,Y,2
25,69000,RENT,9,PERSONAL,D,25000,17.49,1,0.36,N,2
26,188000,MORTGAGE,10,VENTURE,E,20000,17.74,1,0.11,N,2
26,200000,MORTGAGE,4,PERSONAL,C,3000,13.92,0,0.01,N,3
25,69996,RENT,9,EDUCATION,D,25000,15.21,1,0.36,N,3
25,66000,RENT,9,VENTURE,D,25000,15.33,1,0.38,Y,2
25,14400,OWN,7,EDUCATION,B,5375,5.79,1,0.37,N,2
25,72612,RENT,9,MEDICAL,C,25000,13.11,1,0.34,N,2
25,75000,RENT,9,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2
25,186000,OWN,9,VENTURE,B,10000,10.25,0,0.05,N,4
25,185000,RENT,6,VENTURE,C,15000,15.27,0,0.08,N,2
26,80000,RENT,5,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4
26,185000,OWN,10,PERSONAL,A,5000,7.68,0,0.03,N,2
25,182952,MORTGAGE,9,PERSONAL,A,15000,6.03,0,0.08,N,3
25,81000,RENT,5,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3
25,142800,MORTGAGE,9,MEDICAL,F,10000,18.25,1,0.06,N,4
25,90000,RENT,9,MEDICAL,B,25000,10.99,0,0.28,N,4
25,180000,OWN,9,MEDICAL,C,20000,14.26,0,0.11,Y,4
25,92000,RENT,6,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3
25,175000,MORTGAGE,10,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2
25,174708,RENT,9,VENTURE,B,9000,10.59,0,0.05,N,3
26,174000,RENT,8,DEBTCONSOLIDATION,B,12000,12.53,0,0.07,N,4
25,162000,MORTGAGE,5,DEBTCONSOLIDATION,E,25000,16,1,0.15,Y,3
26,173467,MORTGAGE,10,VENTURE,B,10000,11.71,0,0.06,N,4
25,113000,RENT,7,MEDICAL,C,25000,12.73,0,0.22,Y,4
25,120000,RENT,6,MEDICAL,B,25000,10.74,0,0.21,N,2
26,129996,RENT,6,PERSONAL,B,25000,10.75,0,0.19,N,3
25,170000,OWN,4,EDUCATION,B,20000,12.53,0,0.12,N,4
26,168750,RENT,10,MEDICAL,C,24250,12.87,0,0.14,Y,3
25,134000,RENT,7,MEDICAL,B,25000,10.62,0,0.19,N,2
25,135000,RENT,5,EDUCATION,B,25000,11.36,0,0.19,N,4
26,135660,RENT,10,DEBTCONSOLIDATION,B,25000,12.53,0,0.18,N,4
25,162000,RENT,9,PERSONAL,C,25000,11.03,0,0.15,N,2
26,161000,RENT,10,VENTURE,A,30000,7.9,0,0.19,N,4
25,225000,RENT,5,VENTURE,B,25000,11.86,0,0.11,N,4
25,49500,RENT,6,PERSONAL,C,24750,14.22,1,0.5,N,3
26,160000,RENT,6,PERSONAL,C,25000,12.23,0,0.16,Y,4
25,68400,RENT,9,PERSONAL,E,24250,17.56,1,0.35,N,4
25,160000,OWN,5,VENTURE,B,15000,11.14,0,0.09,N,4
